,SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
0,36002117,3.8,4.75,,,,3.5,7.25,8.0,4.4,,6.25,,,15.5,12.95,
1,36002118,5.8,5.25,3.5,4.75,5.0,,,,5.0,4.42,,14.05,15.55,,16.05,14.3
2,36002127,4.2,4.75,,,,3.0,5.25,8.5,3.6,,5.58,,,13.0,12.55,
3,36002129,4.8,6.0,,,,3.75,5.5,7.75,3.4,,5.67,,,15.25,14.2,
4,36002135,5.4,7.0,,,,3.5,7.75,8.75,3.0,,6.67,,,18.25,15.4,
5,36002137,5.2,5.0,4.0,5.5,4.75,,,,4.6,4.75,,14.7,15.45,,14.8,13.8
6,36002148,3.0,3.5,,,,2.5,4.75,7.5,2.6,,4.92,,,10.75,9.1,
7,36002156,4.4,6.75,,,,4.75,8.0,8.75,2.0,,7.17,,,19.5,13.15,
8,36002162,5.2,6.25,,,,4.0,7.5,7.75,3.2,,6.42,,,17.75,14.65,
9,36002301,1.2,2.5,,,,2.5,4.0,,,,,,,9.0,,
10,36002311,3.2,2.75,,,,4.75,7.25,,,,,,,14.75,,
11,36002317,2.0,2.0,,,,1.75,4.75,,,,,,,8.5,,
12,36002323,1.8,2.75,,,,2.25,3.75,,,,,,,8.75,,
13,36002329,2.6,3.0,,,,3.25,2.0,,,,,,,8.25,,
14,36002335,2.6,1.75,,,,3.25,3.5,,,,,,,8.5,,
15,36002347,1.6,1.25,,,,1.25,3.0,,,,,,,5.5,,
16,36002350,5.0,7.0,,,,5.25,6.25,,,,,,,18.5,,
17,36002353,2.4,2.25,,,,2.5,3.75,,,,,,,8.5,,
18,36002356,2.6,1.25,,,,3.75,4.5,,,,,,,9.5,,
19,36002362,2.6,1.25,,,,2.5,2.5,,,,,,,6.25,,
20,36001151,5.6,4.25,,,,4.0,6.5,7.5,2.8,,6.0,,,14.75,12.65,
21,36001164,3.2,2.75,,,,2.5,4.0,5.5,2.8,,4.0,,,9.25,8.75,
22,36001169,4.2,3.5,3.5,3.0,4.5,,,,2.6,3.67,,10.7,11.7,,10.3,10.3
23,36001175,2.2,2.75,,,,2.75,2.5,5.25,3.4,,3.5,,,8.0,8.35,
24,36000957,4.4,4.5,,,,3.25,3.5,5.25,4.4,,4.0,,,11.25,13.3,
25,36000982,3.0,4.5,,,,3.5,6.75,7.25,3.0,,5.83,,,14.75,10.5,
26,36000986,4.2,4.25,,,,3.25,5.75,6.0,3.6,,5.0,,,13.25,12.05,
27,36000989,5.2,6.5,,,,7.0,9.0,8.5,4.0,,8.17,,,22.5,15.7,
28,36000992,5.6,6.0,,,,4.5,6.5,8.75,4.6,,6.58,,,17.0,16.2,
29,36000995,6.4,6.5,4.0,3.0,6.0,5.25,7.5,8.75,3.2,4.33,7.17,13.4,15.4,19.25,16.1,13.6
30,36001005,2.8,2.5,,,,2.75,4.75,6.25,2.2,,4.58,,,10.0,7.5,
31,36001013,3.2,4.25,,,,4.75,6.25,7.5,3.0,,6.17,,,15.25,10.45,
32,36001017,4.0,4.5,,,,3.75,5.5,5.25,1.4,,4.83,,,13.75,9.9,
33,36001022,3.6,4.0,,,,4.0,6.0,7.0,2.4,,5.67,,,14.0,10,
34,36002050,2.4,2.75,,,,3.0,6.75,6.5,0.8,,5.42,,,12.5,5.95,
35,36002065,6.0,7.0,,,,5.5,8.0,8.5,6.4,,7.33,,,20.5,19.4,
36,36002068,4.6,6.25,,,,3.0,6.0,8.0,3.6,,5.67,,,15.25,14.45,
37,36002161,5.0,6.25,,,,4.25,4.75,8.0,3.4,,5.67,,,15.25,14.65,
38,36002561,2.8,0.5,,,,2.75,2.5,,,,,,,5.75,,
39,36002546,2.0,2.75,,,,3.5,3.25,,,,,,,9.5,,
40,36002384,2.8,2.0,2.75,2.5,3.0,3.0,3.25,,,2.75,,8.05,8.3,8.25,,
41,36002572,5.6,7.0,6.5,3.75,4.5,,,,3.0,4.92,,15.85,13.85,,15.6,15.1
